batch_ts_utc,row_seq,ok,error,detail,bt_run_id,symbol,stress_preset,kline_interval,fetch_mode,force_agent_heuristic,bars_fetched,replay_steps,motor_cycles,pct_steps_filter_apt,pnl_quote_vs_start,paper_failure_top2,cycle_end_top2,paper_failure_reason_counts_json,cycle_end_reason_counts_json,synthetic_book_spread_bps,paper_slippage_bps_applied,audit_csv_path,agent_jsonl_path
2026-03-29T22:44:38Z,1,True,,,d09a6c6404e8,BTCUSDT,baseline,5m,range,True,2017,1957,10,93.766,22.96630826,,filters_failed:10,{},"{""filters_failed"": 10}",35.0,5.0,F:\AMBIENTE VIRTUAL\CODIGOS\python\MICROSTRANSAÇÕES 2.0\auditoria\backtest\d09a6c6404e8_audit.csv,F:\AMBIENTE VIRTUAL\CODIGOS\python\MICROSTRANSAÇÕES 2.0\auditoria\backtest\d09a6c6404e8_agent.jsonl
2026-03-29T22:44:38Z,2,True,,,67d73e87704c,BTCUSDT,livro_apertado,5m,range,True,2017,1957,10,93.766,0.0,book_top_spread_smaller_than_fees:1835,filters_failed:10,"{""book_top_spread_smaller_than_fees"": 1835}","{""filters_failed"": 10}",12.0,5.0,F:\AMBIENTE VIRTUAL\CODIGOS\python\MICROSTRANSAÇÕES 2.0\auditoria\backtest\67d73e87704c_audit.csv,F:\AMBIENTE VIRTUAL\CODIGOS\python\MICROSTRANSAÇÕES 2.0\auditoria\backtest\67d73e87704c_agent.jsonl
2026-03-29T22:44:38Z,3,True,,,e6c6e3e2e5a5,BTCUSDT,taxas_altas,5m,range,True,2017,1957,10,93.766,22.98485883,,filters_failed:10,{},"{""filters_failed"": 10}",51.0,5.0,F:\AMBIENTE VIRTUAL\CODIGOS\python\MICROSTRANSAÇÕES 2.0\auditoria\backtest\e6c6e3e2e5a5_audit.csv,F:\AMBIENTE VIRTUAL\CODIGOS\python\MICROSTRANSAÇÕES 2.0\auditoria\backtest\e6c6e3e2e5a5_agent.jsonl
