O programa deu esses logs: 2026-03-29 10:39:57,851 | filter | FILTER BTCUSDT | adx=22.77893164814755 apt=True atr_pct=0.10385125464784306 last_price=66561.6 liquidity_quote_sum=237499.99983897601 quote_volume_24h=671640556.296406 range_atr_ratio=8.24983048277411
2026-03-29 10:39:57,983 | filter | FILTER BTCUSDT | adx=14.755996813863863 apt=True atr_pct=0.08456505466137222 last_price=66667.26 liquidity_quote_sum=237500.00039785798 quote_volume_24h=604242211.6668826 range_atr_ratio=5.59126690976319
2026-03-29 10:39:57,987 | filter | FILTER BTCUSDT | adx=14.133310893553498 apt=True atr_pct=0.08143134300699706 last_price=66648.93 liquidity_quote_sum=237500.0003095758 quote_volume_24h=603570341.7963226 range_atr_ratio=5.808031802421563
2026-03-29 10:39:57,990 | filter | FILTER BTCUSDT | adx=13.332174317136548 apt=True atr_pct=0.07895613260338538 last_price=66673.6 liquidity_quote_sum=237500.000098144 quote_volume_24h=593894270.1589038 range_atr_ratio=5.987892456289315
2026-03-29 10:39:57,997 | filter | FILTER BTCUSDT | adx=14.003773684965381 apt=True atr_pct=0.08924967006654341 last_price=66555.48 liquidity_quote_sum=237499.9997770008 quote_volume_24h=594906241.5992815 range_atr_ratio=5.420825564684379
2026-03-29 10:39:58,002 | filter | FILTER BTCUSDT | adx=14.633095762039495 apt=True atr_pct=0.08815278865749819 last_price=66598.42 liquidity_quote_sum=237499.99943795722 quote_volume_24h=593544504.2590562 range_atr_ratio=5.492573385763678
2026-03-29 10:39:58,005 | filter | FILTER BTCUSDT | adx=14.951388692491177 apt=True atr_pct=0.08541496410384015 last_price=66581.57 liquidity_quote_sum=237499.9996662612 quote_volume_24h=588868174.521622 range_atr_ratio=5.6700626204909295
2026-03-29 10:39:58,010 | filter | FILTER BTCUSDT | adx=14.920935702737284 apt=True atr_pct=0.0842519106651332 last_price=66615.54 liquidity_quote_sum=237500.0001271572 quote_volume_24h=588231896.5163271 range_atr_ratio=5.745403549108705
2026-03-29 10:39:58,015 | filter | FILTER BTCUSDT | adx=14.837894561487424 apt=True atr_pct=0.08132829960664646 last_price=66630.58 liquidity_quote_sum=237499.9996236636 quote_volume_24h=584267257.7392956 range_atr_ratio=5.950597338667697
2026-03-29 10:39:58,021 | filter | FILTER BTCUSDT | adx=14.50801048846109 apt=True atr_pct=0.07701062335205755 last_price=66634.01 liquidity_quote_sum=237499.99960841937 quote_volume_24h=583846272.5907807 range_atr_ratio=6.283899942660696
2026-03-29 10:39:58,026 | filter | FILTER BTCUSDT | adx=15.38220176878431 apt=True atr_pct=0.08053773965238933 last_price=66550.74 liquidity_quote_sum=237499.99985315878 quote_volume_24h=585445620.0153337 range_atr_ratio=6.016217437301531
2026-03-29 10:39:58,031 | filter | FILTER BTCUSDT | adx=16.755533905722928 apt=True atr_pct=0.08127227471480182 last_price=66540.0 liquidity_quote_sum=237500.00032559998 quote_volume_24h=586477578.0834534 range_atr_ratio=6.72225595603681
2026-03-29 10:39:58,035 | filter | FILTER BTCUSDT | adx=18.073966933748178 apt=True atr_pct=0.08170049438784494 last_price=66548.07 liquidity_quote_sum=237499.999761816 quote_volume_24h=589539241.3270407 range_atr_ratio=6.755918881276635
2026-03-29 10:39:58,040 | filter | FILTER BTCUSDT | adx=19.732300257420125 apt=True atr_pct=0.08635064283629547 last_price=66469.96 liquidity_quote_sum=237500.00002969516 quote_volume_24h=591057714.3474547 range_atr_ratio=6.4314941703010815
2026-03-29 10:39:58,043 | filter | FILTER BTCUSDT | adx=21.58341313002682 apt=True atr_pct=0.08832959765801712 last_price=66468.91 liquidity_quote_sum=237499.99984022463 quote_volume_24h=591703879.3140068 range_atr_ratio=5.853175404998169
2026-03-29 10:39:58,050 | filter | FILTER BTCUSDT | adx=23.17539439558468 apt=True atr_pct=0.08662920751553994 last_price=66468.21 liquidity_quote_sum=237500.000534307 quote_volume_24h=590405341.1537061 range_atr_ratio=5.968126549599274
