hora_utc,par,apto_filtro,ciclo_n,motor_ligado,agent_fonte,preco_mid,spread_livro_bps,evento,fim_ciclo_motivo,sim_precificacao,sim_volta_ok,sim_resultado_quote,sim_obs,carteira_patrimonio
2026-03-29 17:00:10,BTCUSDT,sim,1,sim,agent_heuristic_gemini_fallback,66516.62,0.002,cycle_start,—,book_top,não,,book_top_spread_smaller_than_fees,10000.6013
2026-03-29 16:59:52,BTCUSDT,sim,1,sim,agent_heuristic_gemini_fallback,66499.36,0.002,—,—,synthetic_mid,sim,0.060132,ok,10000.6013
2026-03-29 16:59:38,BTCUSDT,sim,1,sim,agent_heuristic_gemini_fallback,66499.36,0.002,—,—,synthetic_mid,sim,0.060132,ok,10000.5412
2026-03-29 16:59:02,BTCUSDT,sim,1,sim,agent_heuristic_gemini_fallback,66496.79,0.002,—,—,synthetic_mid,sim,0.060132,ok,10000.4811
2026-03-29 16:59:00,BTCUSDT,sim,1,sim,agent_heuristic_gemini_fallback,66496.79,0.002,—,—,synthetic_mid,sim,0.060132,ok,10000.4209
2026-03-29 16:58:58,BTCUSDT,sim,1,sim,agent_heuristic_gemini_fallback,66496.79,0.002,—,—,synthetic_mid,sim,0.060132,ok,10000.3608
2026-03-29 16:58:56,BTCUSDT,sim,1,sim,agent_heuristic_gemini_fallback,66496.79,0.002,cycle_start,—,synthetic_mid,sim,0.060132,ok,10000.3007
2026-03-29 16:58:50,BTCUSDT,não,0,não,—,66500.52,0.002,—,—,—,—,,—,10000.2405
2026-03-29 16:58:49,BTCUSDT,não,0,não,—,66500.52,0.002,—,—,—,—,,—,10000.2405
2026-03-29 16:58:44,BTCUSDT,sim,1,sim,agent_heuristic,66500.52,0.002,—,—,synthetic_mid,sim,0.060132,ok,10000.2405
2026-03-29 16:58:43,BTCUSDT,sim,1,sim,agent_heuristic,66500.52,0.002,—,—,synthetic_mid,sim,0.060132,ok,10000.1804
2026-03-29 16:58:41,BTCUSDT,sim,1,sim,agent_heuristic,66500.52,0.002,—,—,synthetic_mid,sim,0.060132,ok,10000.1203
2026-03-29 16:58:39,BTCUSDT,sim,1,sim,agent_heuristic,66500.52,0.002,cycle_start,—,synthetic_mid,sim,0.060132,ok,10000.0601
2026-03-29 16:58:19,BTCUSDT,sim,1,sim,agent_heuristic,66516.85,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10000
2026-03-29 16:58:12,BTCUSDT,sim,1,sim,agent_heuristic,66516.85,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10000
2026-03-29 16:58:10,BTCUSDT,sim,1,sim,agent_heuristic,66516.85,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10000
2026-03-29 16:58:09,BTCUSDT,sim,1,sim,agent_heuristic,66525.86,0.002,—,—,book_top,não,,book_top_spread_smaller_than_fees,10000
2026-03-29 16:58:07,BTCUSDT,sim,1,sim,agent_heuristic,66521.11,0.002,cycle_start,—,book_top,não,,book_top_spread_smaller_than_fees,10000
2026-03-29 16:58:03,BTCUSDT,não,0,não,—,66521.11,0.002,—,—,—,—,,—,10000
2026-03-29 16:58:00,BTCUSDT,não,0,não,—,66521.11,0.002,—,—,—,—,,—,10000
